Bike_Colour,Frequency,Recovered,Recovery_Rate
RED,1533,22,0.014350945857795172
GRN,588,8,0.013605442176870748
WHI,1691,23,0.013601419278533412
PLE,397,5,0.012594458438287154
BLU,1960,24,0.012244897959183673
SIL,1010,12,0.011881188118811881
BLK,6212,60,0.009658725048293626
GRY,1798,15,0.008342602892102336
